Task,Code,Layout,Mockup,Parent item,Select,Sub-item
Final Form Spec,No,Yes,Yes,,In progress,"Video form final (Video%20form%20final%20370b4fe015dd80769a2be65749289f61.csv), Image form final (Image%20form%20final%20370b4fe015dd80fda99ac40cbb9a4458.csv), Performer form final (Performer%20form%20final%20370b4fe015dd80e282c7d848ff2d8232.csv), Category management form final (Category%20management%20form%20final%20370b4fe015dd80cf92a0c1572b1a4015.csv), State Behavior (State%20Behavior%20370b4fe015dd80d394cad960f93bc9b4.csv), Global Rule Form (Global%20Rule%20Form%20370b4fe015dd8088aa22ff36ede162f0.csv)"
Final Detail Spec,No,No,No,,In progress,"Placeholder text removal rule (Placeholder%20text%20removal%20rule%20370b4fe015dd80c7b9fbc3b7affecc13.csv), Gallery Image Preview behavior (Gallery%20Image%20Preview%20behavior%20370b4fe015dd80499c9ad161ddb1238c.csv), Video Detail section order (Video%20Detail%20section%20order%20370b4fe015dd80f5aca8d591c80a5db3.csv), Image Detail section order (Image%20Detail%20section%20order%20370b4fe015dd80ed81b1c808a7fb5db1.csv), Performer Detail section order (Performer%20Detail%20section%20order%20370b4fe015dd80afa9d4e3a624769d00.csv)"
Final Collection Spec,No,Yes,Yes,,In progress,"Filter bar performer (Filter%20bar%20performer%20370b4fe015dd80c9abadef33786a337f.csv), Filter chip order (Filter%20chip%20order%20370b4fe015dd805cbd7fd02fb61dd2e5.csv), Table columns (Table%20columns%20370b4fe015dd80cf9027f32b60d6fa1e.csv), Short/pagination behavior (Short%20pagination%20behavior%20370b4fe015dd80d3aed1c1ca881f20e3.csv), Cart/table toggle (Cart%20table%20toggle%20370b4fe015dd80b9a947e0d76528fa90.csv), Clear all behavior (Clear%20all%20behavior%20370b4fe015dd80dba4a3eb116cd70415.csv)"
Final Settings Spec,No,Yes,No,,In progress,"Section layout (Section%20layout%20370b4fe015dd8020bb32f42b53b527e3.csv), Dark theme target (Dark%20theme%20target%20370b4fe015dd80c6b03ce08a972bdddd.csv), Accent color picker (Accent%20color%20picker%20370b4fe015dd80be8065ce80e26d679c.csv), UI density (UI%20density%20370b4fe015dd80e38163fac7e44bd56e.csv), Optimization controls (Optimization%20controls%20370b4fe015dd80e2b6a7f21fcf598a11.csv), App information realtime (App%20information%20realtime%20370b4fe015dd805b998fc671500d9c46.csv), Language behavior (Language%20behavior%20370b4fe015dd800192cbd32986a4e015.csv)"
Final Category Management Spec,No,No,No,,Not started,"Parent/child layout (Parent%20child%20layout%20370b4fe015dd80f9bb45d0a00b9e37db.csv), Show in videos/images/performer only (Show%20in%20videos%20images%20performer%20only%20370b4fe015dd800fbad7cb0ce970b311.csv), Parent chips (Parent%20chips%20370b4fe015dd8091bed1d4ddc6c845b3.csv), Filter sync rule (Filter%20sync%20rule%20370b4fe015dd807981c8c37e03743b26.csv)"
Final Branding / App Shell Spec,No,No,No,,Not started,"Logo / icon path (Logo%20icon%20path%20370b4fe015dd80ea9db7f1823dff4a5f.csv), Taskbar/titlebar/sidebar logo behavior (Taskbar%20titlebar%20sidebar%20logo%20behavior%20370b4fe015dd8095be15fa24106ae342.csv), Footer keep / remove decision (Footer%20keep%20remove%20decision%20370b4fe015dd808e9d9cfaeaa7c8e6cc.csv), App version 1.0.0 stable (App%20version%201%200%200%20stable%20370b4fe015dd8006b1e3dfb360651680.csv), Back/navigation behavior (Back%20navigation%20behavior%20370b4fe015dd80739fefd1a7c8689b75.csv)"
Final Performance Spec,No,No,No,,Not started,"Low-end pc target (Low-end%20pc%20target%20370b4fe015dd80c7ba47ef88ccf9fd2d.csv), Lazy load strategy (Lazy%20load%20strategy%20370b4fe015dd80f59ce7f5230938976f.csv), Cache strategy (Cache%20strategy%20370b4fe015dd80c39064c8c5b7eff1d9.csv), Thumbnail strategy (Thumbnail%20strategy%20370b4fe015dd80748a71e8403505ff58.csv), Large catalog handling (Large%20catalog%20handling%20370b4fe015dd80299430fc619f775874.csv)"
Final Translation Spec,No,No,No,,Not started,"Full UI translation (Full%20UI%20translation%20370b4fe015dd8015bec7c70bc6bbc5f3.csv), User data not translated (User%20data%20not%20translated%20370b4fe015dd808197e6cac5e2c33be1.csv), Remove MVP/planning/dummy text. (Remove%20MVP%20planning%20dummy%20text%20370b4fe015dd80dfafc2c659286009fa.csv), Empty value = n/a (Empty%20value%20=%20n%20a%20370b4fe015dd8023aa82e9e91f797c83.csv)"
Final Release Spec,No,No,No,,Not started,"Full smoke checklist (Full%20smoke%20checklist%20370b4fe015dd8087984ac3332cbea303.csv), Installer checklist (Installer%20checklist%20370b4fe015dd80e09655eca0f261257a.csv), Backup/restore/import/export validation (Backup%20restore%20import%20export%20validation%20370b4fe015dd80b4bc9dcda927f2b7ef.csv), Clean instal validation (Clean%20instal%20validation%20370b4fe015dd80e99fc0e96f3e08b0ac.csv)"
Audit Policy,No,No,No,,Not started,"Low risk: implement directly (Low%20risk%20implement%20directly%20370b4fe015dd8060afd2c4ed5f125b3c.csv), Unknow/high risk: audit first. (Unknow%20high%20risk%20audit%20first%20370b4fe015dd80958443e227957d425c.csv), If one revision fails: stop and trace root cause. (If%20one%20revision%20fails%20stop%20and%20trace%20root%20cause%20370b4fe015dd80a6a35bef1fd2a0f49d.csv)"
Video Detail section order,No,Yes,Yes,Final Detail Spec (Final%20Detail%20Spec%20370b4fe015dd807c80d8e37b0b809cac.csv),In progress,
Image Detail section order,No,Yes,Yes,Final Detail Spec (Final%20Detail%20Spec%20370b4fe015dd807c80d8e37b0b809cac.csv),In progress,
Performer Detail section order,No,Yes,Yes,Final Detail Spec (Final%20Detail%20Spec%20370b4fe015dd807c80d8e37b0b809cac.csv),In progress,
Gallery Image Preview behavior,No,Yes,Yes,Final Detail Spec (Final%20Detail%20Spec%20370b4fe015dd807c80d8e37b0b809cac.csv),In progress,
Video form final,No,Yes,Yes,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),In progress,
Image form final,No,Yes,Yes,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),In progress,
Performer form final,No,Yes,Yes,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),In progress,
Category management form final,No,Yes,Yes,Final Form Spec (Final%20Form%20Spec%20370b4fe015dd80d08428c8e78f957e47.csv),Revision,
Placeholder text removal rule,No,No,No,Final Detail Spec (Final%20Detail%20Spec%20370b4fe015dd807c80d8e37b0b809cac.csv),Not started,
Filter bar performer,No,Yes,Yes,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),In progress,
Filter chip order,No,No,No,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),Not started,
Table columns,No,No,No,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),Not started,
Short/pagination behavior,No,No,No,Final Collection Spec (Final%20Collection%20Spec%20370b4fe015dd804aa077cf922c46f1bd.csv),Not started,
